complex_id,prepare,dock,rmsd,features,total_s
5SAK_ZRY,0.726,2.376,0.008,2.856,5.965999999999999
5SB2_1K2,0.072,7.103,0.003,2.408,9.586
5SD5_HWI,0.052,7.44,0.006,2.579,10.077
5SIS_JSM,0.087,6.997,0.006,3.327,10.417
6M2B_EZO,0.101,3.757,0.005,3.169,7.032
6M73_FNR,0.098,9.387,0.001,2.89,12.376000000000001
6T88_MWQ,0.247,1.428,0.002,3.098,4.7749999999999995
6TW5_9M2,0.46,10.207,0.006,4.342,15.015
6TW7_NZB,0.158,4.819,0.006,4.033,9.016000000000002
6VTA_AKN,0.097,31.127,0.005,3.478,34.707
6WTN_RXT,0.069,2.744,0.005,2.589,5.407
6XBO_5MC,0.099,4.675,0.005,3.188,7.9670000000000005
6XCT_478,0.152,15.847,0.009,3.684,19.692
6XG5_TOP,0.04,3.309,0.004,2.049,5.402
6XHT_V2V,0.448,22.002,0.006,4.165,26.621
6XM9_V55,0.269,1.034,0.003,3.105,4.411
6YJA_2BA,0.071,55.636,0.009,3.618,59.334
6YMS_OZH,0.129,17.348,0.011,3.511,20.999
6YQV_8K2,0.117,0.887,0.003,2.216,3.223
6YQW_82I,0.022,0.701,0.003,0.958,1.684
6YR2_T1C,0.105,12.852,0.005,3.395,16.357000000000003
6YRV_PJ8,0.188,4.272,0.003,3.848,8.311
6YSP_PAL,0.67,3.667,0.001,3.175,7.513
6YT6_PKE,0.124,7.606,0.006,2.825,10.561
6YYO_Q1K,0.135,1.671,0.005,3.171,4.981999999999999
6Z0R_Q4H,0.071,0.673,0.003,1.553,2.3
6Z14_Q4Z,0.247,2.374,0.002,3.773,6.396
6Z1C_7EY,0.088,3.067,0.005,2.467,5.627000000000001
6Z2C_Q5E,0.142,4.125,0.003,2.404,6.674
6Z4N_Q7B,0.253,2.629,0.006,5.428,8.315999999999999
6ZAE_ACV,0.141,9.68,0.003,2.465,12.289
6ZC3_JOR,0.039,1.471,0.004,1.492,3.0060000000000002
6ZCY_QF8,0.063,6.071,0.007,2.808,8.948999999999998
6ZK5_IMH,0.218,4.051,0.004,3.555,7.827999999999999
6ZPB_3D1,0.041,2.328,0.004,1.402,3.7749999999999995
7A1P_QW2,0.179,2.311,0.001,2.885,5.3759999999999994
7A9E_R4W,0.089,0.511,0.001,1.687,2.2880000000000003
7A9H_TPP,0.678,7.803,0.006,4.951,13.437999999999999
7AFX_R9K,0.201,2.075,0.004,3.06,5.34
7AKL_RK5,0.085,1.787,0.004,2.508,4.384
7AN5_RDH,0.144,2.581,0.003,2.704,5.432
7B2C_TP7,1.811,0.021,0.0,0.0,1.8319999999999999
7B94_ANP,0.154,14.945,0.009,3.85,18.958000000000002
7BCP_GCO,0.115,3.167,0.002,2.519,5.803
7BJJ_TVW,0.066,0.66,0.003,1.474,2.203
7BKA_4JC,0.202,1.203,0.002,2.3,3.707
7BMI_U4B,0.209,1.577,0.002,2.008,3.7960000000000003
7BNH_BEZ,0.101,0.704,0.003,1.696,2.504
7BTT_F8R,0.073,12.41,0.008,3.583,16.073999999999998
7C0U_FGO,0.25,25.566,0.008,4.996,30.82
7C3U_AZG,0.072,0.931,0.003,2.115,3.1210000000000004
7C8Q_DSG,0.398,1.466,0.001,4.301,6.166
7CD9_FVR,0.195,9.126,0.007,4.983,14.311
7CIJ_G0C,0.296,5.348,0.005,4.866,10.515
7CL8_TES,0.118,1.656,0.001,2.823,4.598
7CNQ_G8X,0.909,1.219,0.001,2.898,5.027
7CNS_PMV,0.13,3.165,0.001,3.234,6.529999999999999
7CTM_BDP,0.248,1.775,0.002,3.064,5.0889999999999995
7CUO_PHB,0.119,0.923,0.002,1.877,2.9210000000000003
